id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
4616ffc8-d300-4093-8298-26493a7fb541,Whole Unshelled Pistachio,Whole Unshelled Pistachio,EBD-674,Pantry,Costco - 001,Misc,Kgs,0.68,0,33.8088,0,,,True
07958b29-894a-490c-a03f-f418c37e7456,Yam Noodle,Yam Noodle,EBD-523,Pantry,T & T - 013,Dry Storage,Kgs,2.5,0,7.996,0,,,True
93fb61e7-b07d-4652-96bd-5924a419f149,Yellow Mustard,Yellow Mustard,EBD-829,Pantry,Wholesale Club  - 014,Fridge (condiment Shelf) - 013,Kgs,0.1,0,2.2,8.6722,,,True
b156946f-ae8d-40fb-ba20-aa2273606ce0,Cilantro [Removable Garnish],Cilantro [Removable Garnish],ING-15,Produce,GFS - 003,Fridge (produce Rack) - 016,Kgs,1.8,0,4.65,0,,,True
fdb1fa8e-a67c-40d6-977b-e87a8a4a17aa,DSI Extra Firm Tofu,DSI Extra Firm Tofu,ING-119,Produce,DSI - 002,Fridge (tofu Rack) - 017,Kgs,4.5,0,7,0,,,True
702cdd7a-524f-4f8f-bfc4-fcf655229035,DSI Smooth Tofu,DSI Smooth Tofu,ING-268,Produce,DSI - 002,Fridge (tofu Rack) - 017,Kgs,7,0,3.1429,0,,,True
7eb51c19-da6d-49ef-bac6-38020f6d6637,Fresh Start Shanghai Bok Choy,Fresh Start Shanghai Bok Choy,ING-2985,Produce,GFS - 003,,Kgs,4.54,0,13.6211,0,,,True
67f05a94-6995-4383-a29f-b621bb21a784,Pepperoncini,Pepperoncini,EBD-2956,Produce,,,Kgs,10.23,0,1.999022,0,,,True
52aa8ba2-3dc1-4c37-97d9-9c8058f70911,Turnips,Turnips,EBD-T001,Produce,,,Kgs,11.34,0,3.385362,0,,,True
ff92499d-cbe2-4c01-a56e-9b993c344a67,Intercity Custom Meats 1In Diced Beef,Intercity Custom Meats 1In Diced Beef,EBD-2742,Protein,,,Kgs,4.54,0,18.762115,0,,,True
923adebe-0605-446c-a826-919f4ac7c5b7,"Whole Beef Chuck Flat, Fresh","Whole Beef Chuck Flat, Fresh",EBD-2989,Protein,,,Kgs,4,0,37.5,0,,,True
